code,name,regn,al,as,cd,ca,cr,co,cu,fe,pb,li
O027,"Beef, round (leg)",6,0.19±0.11,1.08±0.29,,5.86±1.13,0.007±0.002,,0.06±0.01,2.30±0.96,0.003±0.001,
O028,"Beef, brain",4,0.38±0.10,0.85±0.15,,11.38±0.39,0.004±0.000,,0.29±0.06,2.15±0.42,0.003±0.001,
O029,"Beef, tongue",4,0.48±0.10,1.04±0.27,,9.49±0.28,0.005±0.002,,0.13±0.03,2.17±0.70,0.003±0.001,
O030,"Beef, lungs",3,0.33±0.04,2.06±0.57,0.001±0.000,9.31±0.87,0.011±0.010,0.002±0.001,0.20±0.12,6.85±1.65,0.006±0.002,
O031,"Beef, heart",5,0.62±0.12,1.39±0.32,,6.16±1.43,0.006±0.001,0.002±0.002,0.37±0.08,3.62±0.29,0.004±0.001,
O032,"Beef, liver",6,0.52±0.14,2.60±0.33,0.001±0.000,5.46±0.44,0.012±0.005,0.004±0.003,1.23±1.40,14.82±2.65,0.007±0.002,
O033,"Beef, tripe",5,0.37±0.21,0.61±0.43,,15.30±2.91,0.012±0.007,0.001±0.001,0.04±0.02,0.84±0.12,0.002±0.000,
O034,"Beef, spleen",6,0.32±0.12,1.80±0.56,0.001±0.000,9.40±0.24,0.008±0.004,0.001±0.000,0.09±0.01,31.68±4.50,0.003±0.001,
O035,"Beef, kidneys",3,0.34±0.12,2.37±0.54,0.043±0.010,15.31±0.44,0.005±0.000,0.002±0.002,0.21±0.09,4.71±1.89,0.481±0.827,
O036,"Calf, shoulder",2,0.29,0.7,,8.39,0.008,,0.05,1.31,0.001,
O037,"Calf, chops",2,0.27,0.27,,9.27,0.012,,0.07,1.2,0.004,
O038,"Calf, round (leg)",2,0.19,0.93,,10.03,0.007,,0.08,2.4,,
O039,"Calf, brain",2,0.15,0.71,,10.53,0.006,,0.24,1.44,0.002,
O040,"Calf, tongue",2,0.3,0.93,,9.08,0.015,,0.14,2.63,,
O041,"Calf, heart",1,0.17,0.6,,6.48,0.031,0.001,0.28,4.66,,
O042,"Calf, liver",1,0.07,3.47,0.001,5.19,0.007,0.013,1.04,16.26,,
O043,"Calf, spleen",1,0.32,0.45,0.003,10.56,0.008,0.001,0.19,25.42,0.006,
O044,"Calf, kidneys",2,0.19,1.42,0.014,12.63,0.008,0.002,0.21,4.92,0.003,
O045,"Mithun, shoulder",1,0.35,1.4,,4.27,0.05,,0.08,2.05,0.003,
O046,"Mithun, chops",1,0.36,0.62,0.001,4.88,0.019,,0.09,2.25,0.006,
O047,"Mithun, round (leg)",1,0.17,0.63,,5.32,0.038,0.001,0.09,2.18,0.004,
O048,"Pork, shoulder",6,0.47±0.14,1.53±0.89,,9.95±5.13,0.020±0.011,,0.23±0.17,0.91±0.23,0.005±0.000,
O049,"Pork, chops",6,0.41±0.12,0.85±0.38,,8.12±0.81,0.024±0.005,,0.22±0.13,1.00±0.20,0.003±0.001,
O050,"Pork, ham",6,0.32±0.28,1.54±0.94,,7.40±2.16,0.015±0.012,,0.20±0.19,1.27±0.48,0.003±0.001,
O051,"Pork, lungs",4,0.33±0.14,2.03±0.55,0.002±0.000,10.30±0.26,0.007±0.007,0.001±0.001,0.21±0.12,6.76±2.03,,
O052,"Pork, heart",4,0.29±0.09,1.06±0.24,,4.74±0.91,0.011±0.004,,0.32±0.04,3.97±0.43,0.002±0.001,
O053,"Pork, liver",5,0.33±0.27,1.64±0.89,0.003±0.004,5.52±0.27,0.007±0.002,0.003±0.003,0.66±0.31,20.74±7.24,0.002±0.001,
O054,"Pork, stomach",1,0.44,5.94,,11.75,0.042,,0.74,1.92,0.006,
O055,"Pork, spleen",3,0.26±0.22,1.83±1.59,0.003±0.003,6.98±2.93,0.018±0.018,,0.11±0.01,27.21±6.43,0.799±1.381,
O056,"Pork, kidneys",5,0.11±0.02,1.80±1.89,0.022±0.014,6.71±0.55,0.012±0.008,0.001±0.001,0.53±0.19,6.26±2.55,0.002±0.001,
O057,"Pork, tube (small intestine)",1,0.52,2.48,0.001,16.05,0.008,,0.11,2.83,0.007,
O058,"Hare, shoulder",1,,,,57.51,0.002,,0.43,2.98,0.002,
O059,"Hare, chops",1,,,,38.36,,,0.19,2.78,0.001,
O060,"Hare, leg",1,,,,53.02,,,0.25,2.46,0.002,
O061,"Rabbit, shoulder",1,,,,46.37,0.001,,0.64,1.74,0.003,
O062,"Rabbit, chops",1,,,,25.48,,,0.08,2.42,0.002,
O063,"Rabbit, leg",1,,,,22.31,,,0.18,1.21,0.003,
P001,Allathi (Elops machnata),1,,,,13.78,0.012,,0.03,0.62,,
P002,Aluva (Parastromateus niger),3,,,0.001±0.000,11.32±2.07,0.011±0.007,0.001±0.000,0.04±0.01,0.42±0.02,0.004±0.002,0.003±0.002
P003,Anchovy (Stolephorus indicus),2,,,0.003,36.6,0.016,,0.04,0.54,,0.011
P004,Ari fish (Aprion virescens ),1,,,,4.36,0.002,,0.02,0.47,,0.002
P005,Betki (Lates calcarifer),1,0.01,0.27,,8.84,0.014,,0.79,0.31,0.002,
P006,Black snapper (Macolor niger),1,0.17,0.08,,9.91,0.046,,0.02,0.56,,
P007,Bombay duck (Harpadon nehereus),2,0.67,7.68,0.001,159,0.01,0.001,0.03,0.81,0.003,0.004
P008,Bommuralu (Muraenesox cinerius),3,,,,47.33±16.91,0.017±0.002,0.001±0.000,0.14±0.21,0.43±0.10,,0.002±0.001
P009,Cat fish (Tachysurus thalassinus),1,,,,5.54,0.015,,0.03,0.72,,
P010,Chakla (Rachycentron canadum),5,,,,6.55±1.09,0.014±0.003,0.001±0.001,0.38±0.73,0.41±0.10,0.001±0.000,0.002±0.002
P011,Chappal (Aluterus monoceros ),1,,,,10.22,0.014,,0.43,1.29,,0.001
P012,Chelu (Elagatis bipinnulata),2,,,,8.17,0.009,,0.13,0.67,,0.002
P013,Chembali (Lutjanus quinquelineatus),1,,,0.001,23.72,0.003,,0.03,0.31,,0.001
P014,Eri meen (Pristipomoides filamentosus),1,,,,12.45,0.001,,0.02,0.46,,0.001
P015,Gobro (Epinephelus diacanthus),2,,,,24.18,0.006,0.001,0.1,0.36,,0.001
P016,Guitar fish (Rhinobatus prahli),1,,,,17.32,0.024,0.001,0.03,0.44,,0.002
P017,Hilsa (Tenualosa ilisha),2,0.59,0.18,0.001,19.82,0.006,0.001,0.15,1.19,,0.001
P018,Jallal (Arius sp.),1,,,,14.73,0.003,,0.03,0.46,,0.002
P019,Jathi vela meen (Lethrinus lentjan),2,,,,6.65,0.011,0.001,0.02,0.28,0.001,0.001
P020,Kadal bral (Synodus indicus),1,,,0.001,73.92,0.001,,0.02,0.31,,0.002
P021,Kadali (Nemipterus mesoprion),1,,,,8.62,0.018,,0.02,0.38,,
P022,Kalamaara (Leptomelanosoma indicum),2,,,,7.54,0.006,0.001,0.03,0.5,0.009,0.001
P023,Kalava (Epinephelus coioides),1,,,0.001,10.66,0.009,,0.72,0.26,0.004,
P024,Kanamayya (Lutjanus rivulatus),2,,,,7.72,0.003,,0.02,0.36,,0.001
P025,Kannadi paarai (Alectis indicus),3,,,0.002±0.001,9.04±2.54,0.010±0.004,0.001±0.001,0.03±0.01,0.31±0.06,,0.002±0.001
P026,Karimeen (Etroplus suratensis),1,,,,11.73,0.006,0.001,,0.6,,
P027,Karnagawala (Anchoa hepsetus),1,,,,60.03,0.013,,0.01,0.44,,0.007
P028,Kayrai (Thunnus albacores),2,,,,6,0.006,,0.08,0.98,,
P029,Kiriyan (Atule mate),1,,,0.004,19.42,,,0.09,1,,0.002
P030,Kite fish (Mobula kuhlii),1,,,0.001,11.02,0.005,,0.04,1.38,,0.002
P031,Korka (Terapon jarbua),1,,,0.003,11.12,0.004,,1.22,0.73,0.004,0.001
P032,Kulam paarai (Carangoides fulvoguttatus),1,,,,15.17,0.027,0.001,0.05,0.5,,
P033,Maagaa (Polynemus plebeius),1,,,,8.42,0.002,,0.02,0.23,,0.001
P034,Mackerel (Rastrelliger kanagurta),3,,,0.002±0.001,31.27±15.90,0.011±0.007,0.001±0.001,0.12±0.03,1.46±0.63,0.003±0.000,0.003±0.003
P035,Manda clathi (Naso reticulatus),1,,,,11.48,0.027,,0.01,0.43,,0.001
P036,Matha (Acanthurus mata),2,,,,14.02,0.017,0.001,0.02,0.32,,0.003
P037,Milk fish (Chanos chanos),1,,,0.003,29.18,0.006,,0.45,1.35,0.002,0.001
P038,Moon fish (Mene maculata),1,,,0.001,29.18,0.004,0.001,0.16,1.67,,0.004
P039,Mullet (Mugil cephalus),3,,,0.001±0.001,35.20±5.83,0.014±0.002,0.001±0.000,0.06±0.05,1.31±0.98,,0.002±0.001
P040,Mural (Tylosurus crocodilus crocodilus),1,,,,8.61,0.005,,0.02,0.24,,
P041,Myil meen (Istiophorus platypterus),2,,,,7.2,0.06,0.002,0.12,1.2,,0.003
P042,Nalla bontha (Epinephelus sp.),1,,,,9.04,0.005,,0.02,0.31,,0.002
P043,Narba (Caranx sexfasciatus),2,,,0.001,7.21,0.004,,0.1,1.11,0.004,0.002
P044,Paarai (Caranx heberi),1,,,,13.52,0.011,,0.03,0.69,,0.001
P045,Padayappa (Canthidermis maculata),1,,,0.001,9.83,0.003,0.001,0.58,0.33,0.001,0.001
P046,Pali kora (Panna microdon),1,,,,17.03,0.002,,0.01,0.42,,0.002
P047,Pambada (Lepturacanthus savala),2,,,,16.53,0.023,0.001,0.02,0.38,,0.004
P048,Pandukopa (Pseudosciaena manchurica),1,,,,12.18,0.004,,0.03,0.47,,0.002
P049,Parava (Lactarius lactarius),1,,,,29.12,0.006,,0.02,3.58,,0.002
P050,Parcus (Psettodes erumei),1,,,,21.08,0.005,,0.02,0.28,,0.002
P051,Parrot fish (Scarus ghobban),1,,,,9.21,0.021,0.003,0.06,0.38,,
P052,Perinkilichai (Pinjalo pinjalo),1,,,,7.25,0.015,,0.02,0.29,,0.001
P053,Phopat (Coryphaena hippurus),4,,,,9.32±3.09,0.013±0.002,,0.05±0.01,0.47±0.05,0.015±0.006,
P054,Piranha (Pygopritis sp.),1,,,,14.85,0.003,0.001,,0.5,,
P055,"Pomfret, black (Parastromateus niger)",1,0.13,1.52,0.001,18.1,0.008,,0.07,0.78,,
P056,"Pomfret, snub nose (Trachinotus blochii)",2,,,0.001,6.57,0.002,,0.03,0.41,,0.001
P057,"Pomfret, white (Pampus argenteus)",2,,,,13.64,0.011,0.004,0.05,0.31,,0.001
P058,Pranel (Gerres sp.),1,,,,21.88,0.003,0.001,0.03,0.41,,0.001
P059,Pulli paarai (Gnathanodon speciosus),1,,,,21.84,0.014,0.001,0.04,0.35,,0.002
P060,Queen fish (Scomberoides commersonianus),3,,,,5.75±1.87,0.015±0.005,,0.05±0.01,0.49±0.09,,0.001±0.001
P061,Raai fish (Lobotes surinamensis),2,,,0.001,11.09,0.016,0.001,0.03,0.46,,0.001
P062,Raai vanthu (Epinephelus chlorostigma),1,,,,8.72,0.009,,0.03,0.36,,0.001
P063,Rani (Pink perch),1,0.41,0.9,,37.9,0.005,,0.08,0.87,,0.001
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,,,0.001,9.64,0.001,,0.03,0.25,,0.002
P065,Red snapper (Lutjanus argentimaculatus),1,,,,8.39,0.006,,0.03,0.37,,0.003
P066,"Red snapper, small (Priacanthus hamrur)",1,,,,17.43,0.013,,0.16,0.57,,0.002
P067,Sadaya (Platax orbicularis),1,,,,9.08,0.011,,0.16,0.47,,
P068,Salmon (Salmo salar),1,,,0.001,24.3,0.008,,0.08,0.98,,
P069,Sangada (Nemipterus japonicus),1,,,,7.9,0.008,0.001,0.05,0.99,,0.005
P070,Sankata paarai (Caranx ignobilis),1,,,,6.03,0.003,,0.05,0.99,,
P071,Sardine (Sardinella longiceps),1,0.1,0.08,0.001,42.26,0.008,,0.07,0.83,,
P072,Shark (Carcharhinus sorrah),2,,,,8.44,0.028,0.007,0.23,0.38,0.002,0.001
P073,"Shark, hammer head (Sphyrna mokarran)",1,0.18,0.88,,7.92,0.014,,0.03,0.86,,
P074,"Shark, spotted (Stegostoma fasciatum)",1,,,0.004,8.1,0.012,,0.03,0.54,,0.001
P075,Shelavu (Sphyraena jello),4,,,,11.42±1.81,0.006±0.001,,0.04±0.03,0.52±0.27,,0.001±0.001
P076,Silan (Silonia silondia),1,0.03,1.2,,28.82,0.007,0.001,0.08,0.56,0.004,
P077,Silk fish (Beryx sp.),1,,,,10.46,0.003,,0.02,0.3,,0.001
P078,Silver carp (Hypophthalmichthys molitrix),1,0.11,9.61,,85.55,0.025,,0.02,0.58,,0.002
P079,Sole fish (Cynoglossus arel),1,,,,47.28,0.004,,0.02,0.33,,0.004
P080,Stingray (Dasyatis pastinaca),1,0.02,0.44,0.001,9.16,0.01,,0.03,0.74,0.003,
P081,Tarlava (Drepane punctata),2,,,,11.68,0.009,0.001,0.03,0.53,,
P082,Tholam (Plectorhinchus schotaf),2,,,,11.4,0.016,,0.05,0.6,,0.001
P083,Tilapia (Oreochromis niloticus),1,0.86,0.65,,99.39,0.033,0.001,0.04,2.84,0.011,
P084,Tuna (Euthynnus affinis),5,,,0.001±0.001,9.82±1.65,0.015±0.004,0.001±0.001,0.27±0.13,1.60±0.50,0.001±0.000,0.001±0.001
P085,"Tuna, striped (Katsuwonus pelamis)",1,,,0.001,6.45,0.002,,0.11,1.43,,
P086,Valava (Chirocentrus nudus),1,,,,37.06,0.004,,0.03,0.24,,0.002
P087,Vanjaram (Scomberomorus commerson),2,,0.22,0.06,9.85,,0.007,0.08,0.41,,0.012
P088,Vela meen (Aprion virescens),1,,,,14.9,0.045,0.009,0.08,0.64,,
P089,Vora (Siganus javus),2,,,,7.64,0.016,,0.01,0.27,,0.001
P090,Whale shark (Galeocerdo cuvier),1,,,0.001,8.32,0.006,0.002,0.1,0.33,,0.003
P091,Xiphinis (Xiphias gladius),1,,,0.002,12.08,0.01,,0.03,0.54,,0.002
P092,"Eggs, Cat fish (Ompok bimaculatus)",1,0.48,1.11,,61.69,0.021,0.005,0.08,6.65,,
Q001,Crab (Menippe mercenaria),1,1.4,0.13,0.009,128,0.048,0.018,0.42,1.1,,0.005
Q002,"Crab, sea (Portunus sanguinolentus)",1,,,0.006,333,0.032,0.012,0.84,0.98,,0.017
Q003,"Lobster, brown (Thenus orientalis)",1,,,0.003,73.06,0.044,0.003,0.12,0.77,,0.007
Q004,"Lobster, king size (Thenus orientalis)",1,0.17,1.08,0.011,66.44,0.014,0.001,0.49,0.35,0.009,0.005
Q005,Mud crab (Scylla tranquebarica),1,,,0.001,201,0.014,0.001,1.23,0.87,,
Q006,Oyster (Crassostrea sp.),1,,,0.013,126,0.096,0.011,3.41,0.9,,0.01
Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,,,0.001,37.81,0.02,0.001,0.32,0.73,,0.006
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,,,0.001,71.89,0.004,,0.41,0.39,,
R001,"Clam, green shell (Perna viridis )",1,,,0.008,121,0.104,0.027,0.25,1.01,,
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,,,0.012,50,0.123,0.031,0.31,0.94,,0.004
R003,Octopus (Octopus vulgaris),1,0.1,0.34,0.015,22.1,0.011,0.035,6.72,1.08,,
R004,"Squid, black (Loligo sp.)",1,0.16,0.47,0.004,22.98,0.005,0.001,1.09,0.5,0.023,0.003
R005,"Squid, hard shell (Sepia pharaonis)",1,,,0.004,8.73,0.006,,0.1,0.62,0.001,0.002
R006,"Squid, red (Loligo duvauceli)",2,,,0.003,14.15,0.027,,0.15,0.26,,0.007
R007,"Squid, white, small (Uroteuthis duvauceli)",1,0.08,0.85,0.005,36.46,0.007,0.009,1.1,0.39,0.022,0.003
S001,Cat fish (Tandanus tandanus),2,0.48±0.17,1.68±0.71,,21.99±8.75,0.008±0.002,,0.03±0.01,0.82±0.19,0.012±0.001,
S002,Catla (Catla catla),6,0.41±0.13,7.70±3.37,,43.53±3.91,0.017±0.002,0.003±0.003,0.06±0.02,1.14±0.35,0.005±0.003,
S003,Freshwater Eel (Anguilla anguilla),1,0.81,1.81,0.004,52.99,0.069,,2.72,1.54,0.606,
S004,Gold fish (Carassius auratus),2,0.27,2.84,,47.89,0.01,,0.03,0.76,,
S005,Pangas (Pangasianodon hypophthalmus),6,0.38±0.20,2.22±1.06,0.001±0.000,11.19±1.58,0.009±0.003,,0.04±0.01,0.69±0.16,0.004±0.000,
S006,Rohu (Labeo rohita),6,0.48±0.10,3.71±1.29,,39.37±5.44,0.009±0.005,0.003±0.003,0.05±0.02,1.04±0.34,0.014±0.003,
S007,Crab (Pachygrapsus sp.),1,0.49,1.74,0.03,199,0.016,0.001,0.52,1.1,,0.006
S008,"Prawns, big (Macrobrachium rosenbergii)",1,0.95,3.02,0.003,48.55,0.008,,0.69,0.78,,
S009,"Prawns, small (Macrobrachium sp.)",3,0.91,8.14,,67.99,0.007,0.001,0.14,0.87,,0.001
S010,Tiger prawns (Macrobrachium sp.),2,0.36,4.77,0.002,57.9,0.007,,0.39,0.84,,0.003
