code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
O028,"Beef, brain",4,0.12±0.01,0.13±0.01,1.91±0.48,1.76±0.09,0.25±0.01,5.39±2.10,,
O029,"Beef, tongue",4,0.05±0.01,0.13±0.01,2.93±0.05,0.72±0.03,0.19±0.04,10.81±1.33,,
O030,"Beef, lungs",3,0.09±0.01,0.12±0.02,3.13±0.05,0.85±0.06,0.23±0.01,6.98±0.78,,
O031,"Beef, heart",5,0.24±0.04,0.30±0.05,5.38±0.45,1.55±0.06,0.25±0.07,8.50±1.25,,
O032,"Beef, liver",6,0.17±0.03,0.34±0.05,14.01±0.44,9.32±0.03,0.30±0.05,1744±71.2,,
O033,"Beef, tripe",5,0.03±0.01,0.08±0.03,1.31±0.12,1.09±0.09,0.23±0.07,1.45±0.19,,
O034,"Beef, spleen",6,0.31±0.02,0.25±0.03,7.45±0.43,7.30±0.21,0.26±0.03,3.40±0.88,,
O035,"Beef, kidneys",3,0.26±0.04,0.27±0.05,6.52±0.25,2.05±0.18,0.22±0.02,53.68±4.93,,
O036,"Calf, shoulder",2,0.10,0.20,6.11,0.98,0.50,9.25,,
O037,"Calf, chops",2,0.07,0.17,5.11,0.94,0.37,2.13,,
O038,"Calf, round (leg)",2,0.03,0.17,5.97,0.87,0.41,7.81,,
O039,"Calf, brain",2,0.07,0.19,3.19,1.61,0.30,1.50,,
O040,"Calf, tongue",2,0.11,0.22,4.31,0.79,0.17,5.20,,
O041,"Calf, heart",1,0.26,0.29,5.30,2.29,0.41,9.41,,
O042,"Calf, liver",1,0.17,0.31,12.98,8.95,0.59,1473,,
O043,"Calf, spleen",1,0.09,0.28,7.61,6.83,0.44,3.58,,
O044,"Calf, kidneys",2,0.32,0.35,4.16,2.49,0.30,33.48,,
O045,"Mithun, shoulder",1,0.04,0.06,6.29,1.31,0.37,1.86,,
O046,"Mithun, chops",1,0.20,0.18,4.76,1.62,0.34,1.90,,
O047,"Mithun, round (leg)",1,0.02,0.05,5.30,1.36,0.29,1.86,,
O048,"Pork, shoulder",6,0.18±0.01,0.10±0.02,4.22±0.43,0.86±0.06,0.41±0.08,6.70±1.09,,
O049,"Pork, chops",6,0.30±0.02,0.11±0.02,4.49±0.30,0.72±0.13,0.36±0.10,7.74±1.03,,
O050,"Pork, ham",6,0.24±0.02,0.10±0.01,4.59±0.68,0.79±0.06,0.25±0.06,1.51±0.21,,
O051,"Pork, lungs",4,0.08±0.02,0.14±0.02,3.11±0.19,1.79±0.20,0.19±0.02,6.36±0.75,,
O052,"Pork, heart",4,0.28±0.03,0.30±0.04,5.13±0.18,1.49±0.15,0.30±0.05,4.73±0.80,,
O053,"Pork, liver",5,0.16±0.02,0.31±0.05,13.76±0.76,7.93±0.20,0.37±0.16,954±88.6,,
O054,"Pork, stomach",1,0.10,0.06,1.90,3.10,0.19,6.87,,
O055,"Pork, spleen",3,0.13±0.02,0.27±0.12,7.80±0.43,4.87±0.34,0.22±0.04,5.92±0.49,,
O056,"Pork, kidneys",5,0.24±0.14,0.37±0.05,6.46±0.38,2.52±0.27,0.16±0.04,59.61±10.30,,
O057,"Pork, tube (small intestine)",1,0.08,0.10,0.90,3.02,0.19,7.84,,
O058,"Hare, shoulder",1,0.07,0.27,5.04,0.70,0.28,2.20,,
O059,"Hare, chops",1,0.07,0.28,4.85,0.61,0.22,3.85,,
O060,"Hare, leg",1,0.08,0.22,5.63,0.64,0.24,1.95,,
O061,"Rabbit, shoulder",1,0.03,0.14,4.38,0.69,0.30,1.80,,
O062,"Rabbit, chops",1,0.02,0.08,7.54,0.73,0.24,2.10,,
O063,"Rabbit, leg",1,0.03,0.10,5.02,0.70,0.26,1.80,,
P001,Allathi (Elops machnata),1,0.08,0.04,3.67,0.72,194,1230,,
P002,Aluva (Parastromateus niger),3,0.05±0.01,0.02±0.00,2.35±0.50,0.74±0.12,158±8.5,1132±159,,
P003,Anchovy (Stolephorus indicus),2,0.03,0.04,0.91,1.21,61.25,1170,,
P004,Ari fish (Aprion virescens ),1,0.06,0.03,3.65,0.23,218,602,,
P005,Betki (Lates calcarifer),1,0.01,0.04,1.54,0.40,85.00,2079,,
P006,Black snapper (Macolor niger),1,0.02,,2.89,0.54,106,1772,,
P007,Bombay duck (Harpadon nehereus),2,0.03,0.02,0.64,1.48,98.00,2784,,
P008,Bommuralu (Muraenesox cinerius),3,0.05±0.02,0.02±0.00,1.34±1.09,0.64±0.08,68.63±18.97,1004±91,,
P009,Cat fish (Tachysurus thalassinus),1,0.05,0.05,1.38,1.24,223,1136,,
P010,Chakla (Rachycentron canadum),5,0.06±0.01,0.04±0.02,2.37±0.75,0.67±0.03,99.11±11.25,572±107,,
P011,Chappal (Aluterus monoceros ),1,0.06,0.02,3.95,0.18,185,776,,
P012,Chelu (Elagatis bipinnulata),2,0.06,0.02,2.19,1.07,161,677,,
P013,Chembali (Lutjanus quinquelineatus),1,0.03,0.06,1.80,0.27,146,1221,,
P014,Eri meen (Pristipomoides filamentosus),1,0.04,0.03,2.88,0.57,190,579,,
P015,Gobro (Epinephelus diacanthus),2,0.07,0.02,1.27,0.24,43.72,302,,
P016,Guitar fish (Rhinobatus prahli),1,0.03,0.02,2.01,0.15,139,1532,,
P017,Hilsa (Tenualosa ilisha),2,0.01,0.04,2.85,2.33,120,2875,,
P018,Jallal (Arius sp.),1,0.02,0.02,3.24,0.91,89.14,627,,
P019,Jathi vela meen (Lethrinus lentjan),2,0.12,0.02,2.82,0.29,67.45,828,,
P020,Kadal bral (Synodus indicus),1,0.01,0.06,1.76,0.19,89.19,1178,,
P021,Kadali (Nemipterus mesoprion),1,0.04,0.01,1.86,0.32,184,1317,,
P022,Kalamaara (Leptomelanosoma indicum),2,0.06,0.03,2.22,0.65,160,657,,
P023,Kalava (Epinephelus coioides),1,0.06,0.05,2.24,0.22,135,1194,,
P024,Kanamayya (Lutjanus rivulatus),2,0.06,0.01,1.22,1.46,83.86,1167,,
P025,Kannadi paarai (Alectis indicus),3,0.04±0.02,0.03±0.00,1.81±0.27,1.07±0.07,67.09±9.46,561±115,,
P026,Karimeen (Etroplus suratensis),1,0.08,0.05,1.15,0.23,90.62,1199,,
P027,Karnagawala (Anchoa hepsetus),1,0.07,0.01,0.98,1.39,60.47,377,,
P028,Kayrai (Thunnus albacores),2,0.08,0.07,5.18,1.29,264,884,,
P029,Kiriyan (Atule mate),1,0.04,0.13,2.75,1.36,121,604,,
P030,Kite fish (Mobula kuhlii),1,0.04,0.07,2.50,0.45,127,1334,,
P031,Korka (Terapon jarbua),1,0.03,0.17,3.42,0.40,316,751,,
P032,Kulam paarai (Carangoides fulvoguttatus),1,0.06,0.01,1.97,0.57,218,699,,
P033,Maagaa (Polynemus plebeius),1,0.02,0.01,0.73,0.40,106,695,,
P034,Mackerel (Rastrelliger kanagurta),3,0.07±0.02,0.10±0.03,2.67±2.00,1.35±0.08,100±2.9,713±112,,
P035,Manda clathi (Naso reticulatus),1,0.03,0.02,2.77,1.02,87.58,738,,
P036,Matha (Acanthurus mata ),2,0.05,0.05,2.37,1.40,42.45,1157,,
P037,Milk fish (Chanos chanos),1,0.05,0.07,5.21,1.03,76.51,1132,,
P038,Moon fish (Mene maculata),1,0.07,0.07,1.83,1.72,136,772,,
P039,Mullet (Mugil cephalus),3,0.05±0.02,0.09±0.11,2.52±2.20,1.11±0.06,135±15.2,1189±267,,
P040,Mural (Tylosurus crocodilus crocodilus),1,0.06,0.03,2.65,0.37,67.24,1146,,
P041,Myil meen (Istiophorus platypterus),2,0.04,0.04,4.41,0.71,119,808,,
P042,Nalla bontha (Epinephelus sp.),1,0.04,0.01,0.56,0.22,83.41,1714,,
P043,Narba (Caranx sexfasciatus),2,0.05,0.04,1.51,0.75,153,1303,,
P044,Paarai (Caranx heberi),1,0.03,0.02,2.86,0.27,173,1612,,
P045,Padayappa (Canthidermis maculata),1,0.03,0.05,4.53,0.68,68.93,1337,,
P046,Pali kora (Panna microdon),1,0.03,0.05,0.78,0.43,126,887,,
P047,Pambada (Lepturacanthus savala),2,0.04,0.03,1.96,0.64,76.49,1163,,
P048,Pandukopa (Pseudosciaena manchurica),1,0.04,0.02,0.54,0.42,262,1651,,
P049,Parava (Lactarius lactarius),1,0.03,0.03,0.98,0.09,153,796,,
P050,Parcus (Psettodes erumei),1,0.04,0.02,0.88,0.21,202,488,,
P051,Parrot fish (Scarus ghobban),1,0.06,0.02,1.89,1.15,132,556,,
P052,Perinkilichai (Pinjalo pinjalo),1,0.08,0.01,1.48,0.43,119,511,,
P053,Phopat (Coryphaena hippurus),4,0.06±0.02,0.04±0.02,4.28±1.13,1.13±0.06,131±11,502±163,,
P054,Piranha (Pygopritis sp.),1,0.04,0.05,0.97,1.04,67.91,774,,
P055,"Pomfret, black (Parastromateus niger)",1,0.06,0.02,2.61,0.75,76.00,2056,,
P056,"Pomfret, snub nose (Trachinotus blochii)",2,0.08,0.05,1.94,0.61,77.51,651,,
P057,"Pomfret, white (Pampus argenteus)",2,0.05,0.03,1.38,1.11,130,961,,
P058,Pranel (Gerres sp.),1,0.04,0.13,3.37,0.76,120,1251,,
P059,Pulli paarai (Gnathanodon speciosus),1,0.05,0.04,1.94,1.13,101,1387,,
P060,Queen fish (Scomberoides commersonianus),3,0.06±0.02,0.04±0.03,3.24±1.34,0.63±0.04,118±2.8,1073±177,,
P061,Raai fish (Lobotes surinamensis),2,0.07,0.02,1.63,0.31,108,1638,,
P062,Raai vanthu (Epinephelus chlorostigma),1,0.03,0.01,0.72,0.31,112,1562,,
P063,Rani (Pink perch),1,0.01,,1.33,0.53,75.70,1217,,
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,0.05,0.03,1.99,0.23,120,1244,,
P065,Red snapper (Lutjanus argentimaculatus),1,0.02,0.02,3.14,0.52,66.93,1386,,
P066,"Red snapper, small (Priacanthus hamrur)",1,0.06,0.03,3.43,0.96,172,906,,
P067,Sadaya (Platax orbicularis ),1,0.07,0.38,2.45,1.07,125,459,,
P068,Salmon (Salmo salar),1,0.07,0.06,4.45,1.15,150,1136,,
P069,Sangada (Nemipterus japonicus),1,0.01,0.02,0.68,0.22,101,1675,,
P070,Sankata paarai (Caranx ignobilis),1,0.03,0.06,3.70,1.19,181,1076,,
P071,Sardine (Sardinella longiceps),1,0.01,0.06,0.91,0.77,140,2266,,
P072,Shark (Carcharhinus sorrah),2,0.03,0.04,2.68,1.15,110,857,,
P073,"Shark, hammer head (Sphyrna mokarran)",1,0.02,0.04,2.72,0.66,73.11,2006,,
P074,"Shark, spotted (Stegostoma fasciatum)",1,0.05,0.05,1.02,0.67,76.56,1323,,
P075,Shelavu (Sphyraena jello),4,0.05±0.01,0.06±0.03,2.10±0.71,0.44±0.05,110±6.5,790±101,,
P076,Silan (Silonia silondia),1,0.02,0.07,1.27,0.90,122,2438,,
P077,Silk fish (Beryx sp.),1,0.03,0.04,2.24,0.17,169,802,,
P078,Silver carp (Hypophthalmichthys molitrix),1,0.02,0.02,1.87,1.33,136,2462,,
P079,Sole fish (Cynoglossus arel),1,0.01,0.02,0.47,0.91,68.89,1393,,
P080,Stingray (Dasyatis pastinaca),1,0.03,0.02,2.74,0.98,214,2559,,
P081,Tarlava (Drepane punctata),2,0.04,0.04,2.13,0.25,149,1380,,
P082,Tholam (Plectorhinchus schotaf),2,0.04,0.03,2.74,1.22,160,824,,
P083,Tilapia (Oreochromis niloticus),1,0.02,0.18,1.40,0.78,176,829,,
P084,Tuna (Euthynnus affinis),5,0.06±0.02,0.07±0.03,4.73±1.83,1.34±0.13,68.24±14.90,1374±204,,
P085,"Tuna, striped (Katsuwonus pelamis)",1,0.07,0.15,5.04,1.27,122,789,,
P086,Valava (Chirocentrus nudus),1,0.13,0.02,0.86,0.61,104,1438,,
P087,Vanjaram (Scomberomorus commerson),2,0.03,0.07,3.46,1.22,163,1545,,
P088,Vela meen (Aprion virescens),1,0.05,0.04,5.15,0.22,97.92,1632,,
P089,Vora (Siganus javus),2,0.06,0.07,3.72,0.28,121,1480,,
P090,Whale shark (Galeocerdo cuvier),1,0.06,0.04,2.90,0.84,125,1605,,
P091,Xiphinis (Xiphias gladius),1,0.06,0.05,3.24,0.21,65.79,820,,
P092,"Eggs, Cat fish (Ompok bimaculatus)",1,,0.19,1.09,0.83,148,2059,,
Q001,Crab (Menippe mercenaria),1,0.01,0.1,1.66,0.71,120,2304,,
Q002,"Crab, sea (Portunus sanguinolentus)",1,0.05,0.06,0.97,1.53,117,774,,
Q003,"Lobster, brown (Thenus orientalis)",1,0.01,0.01,0.63,1.44,216,1129,,
Q004,"Lobster, king size (Thenus orientalis)",1,0.01,0.02,1.87,1.25,156,1997,,
Q005,Mud crab (Scylla tranquebarica),1,0.06,0.14,0.60,1.30,180,1383,,
Q006,Oyster (Crassostrea sp.),1,0.06,0.07,0.71,1.18,145,1612,,
Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,0.01,0.03,1.03,1.68,104,1537,,
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,0.03,0.03,1.18,1.47,112,807,,
R001,"Clam, green shell (Perna viridis)",1,0.06,0.1,0.96,1.14,96,907,,
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,0.06,0.11,0.90,0.97,108,900,,
R003,Octopus (Octopus vulgaris),1,0.05,0.05,1.18,0.94,87.71,2087,,
R004,"Squid, black (Loligo sp.)",1,0.02,0.04,1.04,0.72,236,1233,,
R005,"Squid, hard shell (Sepia pharaonis)",1,0.02,0.02,0.65,1.22,41.50,622,,
R006,"Squid, red (Loligo duvauceli)",2,0.03,0.02,0.71,0.95,101,1300,,
R007,"Squid, white, small (Uroteuthis duvauceli)",1,0.01,0.03,0.71,0.77,118,1833,,
S001,Cat fish (Tandanus tandanus),2,0.01±0.00,0.07±0.03,1.74±0.26,1.12±0.12,114±12.3,1395±168,,
S002,Catla (Catla catla),6,0.01±0.00,0.03±0.01,2.21±0.19,1.00±0.05,116±13.5,1926±277,,
S003,Freshwater Eel (Anguilla anguilla),1,,0.31,2.30,1.52,106,1294,,
S004,Gold fish (Carassius auratus),2,,0.05,1.86,1.13,225,2457,,
S005,Pangas (Pangasianodon hypophthalmus),6,,0.05±0.01,1.28±0.21,0.66±0.06,229±17.2,1323±305,,
S006,Rohu (Labeo rohita),6,,0.04±0.01,2.33±0.43,1.18±0.07,240±23.3,1263±101,,
S007,Crab (Pachygrapsus sp.),1,0.01,0.11,1.54,0.79,202,1783,,
S008,"Prawns, big (Macrobrachium rosenbergii)",1,,0.02,1.31,1.74,186,1826,,
S009,"Prawns, small (Macrobrachium sp.)",3,0.01,0.03,0.54,1.74,207,1306,,
S010,Tiger prawns (Macrobrachium sp.),2,0.01,0.04,1.28,1.87,216,1875,,
