code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc
O005,"Goat, tongue",4,68.40±1.00,16.63±0.54,1.02±0.04,13.68±1.09,,,,,789±39
O006,"Goat, lungs",4,79.03±1.20,16.86±0.71,0.74±0.01,3.09±0.56,,,,,401±32
O007,"Goat, heart",5,75.15±1.23,19.38±0.80,0.95±0.09,4.40±0.71,,,,,492±33
O008,"Goat, liver",6,73.37±1.16,20.32±0.92,1.30±0.07,4.88±0.73,,,,,526±31
O009,"Goat, tripe",5,80.94±0.84,15.36±0.50,0.23±0.02,3.36±0.29,,,,,386±19
O010,"Goat, spleen",4,77.93±0.50,18.45±0.15,1.15±0.09,2.37±0.36,,,,,401±14
O011,"Goat, kidneys",4,80.26±1.07,15.60±1.15,1.10±0.05,2.93±0.18,,,,,374±18
O012,"Goat, tube (small intestine)",3,78.12±0.63,12.92±0.54,0.54±0.01,8.26±1.08,,,,,525±32
O013,"Goat, testis",2,84.29,12.32,0.87,2.39,,,,,298
O014,"Sheep, shoulder",5,66.51±2.51,18.24±1.41,0.86±0.01,14.31±1.37,,,,,840±68
O015,"Sheep, chops",4,75.66±2.78,18.00±1.22,1.09±0.02,5.15±2.05,,,,,496±86
O016,"Sheep, leg",5,68.26±1.01,21.42±0.43,0.94±0.01,8.69±0.74,,,,,686±25
O017,"Sheep, brain",1,78.36,13.05,1.19,7.29,,,,,492
O018,"Sheep, tongue",1,68.70,16.61,1.06,13.53,,,,,783
O019,"Sheep, lungs",2,80.41,16.12,0.97,2.41,,,,,363
O020,"Sheep, heart",1,77.06,18.19,0.97,3.66,,,,,445
O021,"Sheep, liver",4,69.71±1.12,22.26±1.46,1.26±0.07,4.87±0.12,,,,,559±21
O022,"Sheep, tripe",2,78.81,16.76,0.26,4.05,,,,,435
O023,"Sheep, spleen",1,79.66,16.02,1.17,3.02,,,,,384
O024,"Sheep, kidneys",2,79.77,16.22,1.00,2.92,,,,,384
O025,"Beef, shoulder",6,63.84±0.59,20.56±1.32,0.95±0.01,14.59±0.86,,,,,889±12
O026,"Beef, chops",4,72.40±0.34,19.82±0.43,0.96±0.02,6.71±0.45,,,,,585±13
O027,"Beef, round (leg)",6,68.04±1.36,22.64±1.03,1.19±0.01,7.38±0.71,,,,,658±37
O028,"Beef, brain",4,78.71±1.43,10.55±0.50,1.37±0.17,9.28±0.92,,,,,523±42
O029,"Beef, tongue",4,70.97±1.20,15.63±0.67,0.73±0.00,12.57±0.63,,,,,731±32
O030,"Beef, lungs",3,80.83±0.18,15.66±0.42,1.13±0.05,2.28±0.21,,,,,351±1
O031,"Beef, heart",5,77.77±0.72,17.68±0.51,0.87±0.01,3.57±0.46,,,,,433±20
O032,"Beef, liver",6,74.15±1.31,20.73±0.96,1.07±0.03,3.96±0.45,,,,,499±30
O033,"Beef, tripe",5,83.74±0.62,13.10±0.29,0.55±0.01,2.51±0.74,,,,,316±25
O034,"Beef, spleen",6,79.03±0.73,17.42±0.55,1.22±0.04,2.22±0.24,,,,,378±16
O035,"Beef, kidneys",3,77.59±0.66,17.09±0.30,1.22±0.04,4.01±0.36,,,,,439±17
O036,"Calf, shoulder",2,70.49,20.98,0.94,7.47,,,,,633
O037,"Calf, chops",2,72.66,22.47,0.92,3.85,,,,,524
O038,"Calf, round (leg)",2,71.13,21.10,0.74,6.92,,,,,615
O039,"Calf, brain",2,81.19,9.84,1.26,7.60,,,,,448
O040,"Calf, tongue",2,69.44,17.78,0.93,11.76,,,,,737
O041,"Calf, heart",1,73.44,18.84,0.86,3.75,,,,,459
O042,"Calf, liver",1,73.66,21.02,1.26,3.95,,,,,503
O043,"Calf, spleen",1,78.65,17.71,1.41,2.12,,,,,379
O044,"Calf, kidneys",2,80.23,15.16,1.02,3.50,,,,,387
O045,"Mithun, shoulder",1,68.86,19.05,0.84,11.14,,,,,736
O046,"Mithun, chops",1,73.81,18.19,0.79,6.12,,,,,536
O047,"Mithun, round (leg)",1,72.25,19.61,0.90,4.10,,,,,485
O048,"Pork, shoulder",6,62.92±0.74,17.41±0.71,0.75±0.12,18.83±0.88,,,,,993±28
O049,"Pork, chops",6,68.40±1.25,19.41±0.68,0.64±0.05,11.30±1.33,,,,,748±51
O050,"Pork, ham",6,61.94±0.39,18.83±0.59,0.62±0.02,18.55±0.78,,,,,1006±20
O051,"Pork, lungs",4,81.12±0.72,15.13±0.52,0.93±0.01,2.74±0.23,,,,,358±16
O052,"Pork, heart",4,77.74±0.88,16.31±0.16,1.01±0.01,4.87±0.84,,,,,457±32
O053,"Pork, liver",5,74.88±1.23,19.89±1.16,1.18±0.03,3.94±0.34,,,,,484±24
O054,"Pork, stomach",1,76.51,15.36,0.23,7.81,,,,,550
O055,"Pork, spleen",3,80.93±1.08,15.13±0.79,1.13±0.05,2.71±0.71,,,,,357±31
O056,"Pork, kidneys",5,80.92±0.87,14.35±1.03,0.97±0.10,3.65±0.55,,,,,379±21
O057,"Pork, tube (small intestine)",1,75.42,14.96,0.55,8.98,,,,,587
O058,"Hare, shoulder",1,71.06,21.13,1.17,6.58,,,,,603
O059,"Hare, chops",1,75.47,20.62,1.27,2.55,,,,,445
O060,"Hare, leg",1,73.00,20.52,1.26,4.16,,,,,503
O061,"Rabbit, shoulder",1,70.75,20.01,1.19,7.96,,,,,635
O062,"Rabbit, chops",1,71.03,22.61,1.35,4.88,,,,,565
O063,"Rabbit, leg",1,70.33,21.31,1.26,5.99,,,,,584
P001,Allathi (Elops machnata),1,75.91,21.77,1.06,0.98,,,,,406
P002,Aluva (Parastromateus niger),3,75.71±0.06,21.63±0.28,1.39±0.08,1.80±0.51,,,,,434±17
P003,Anchovy (Stolephorus indicus),2,77.77,19.88,1.62,0.78,,,,,367
P004,Ari fish (Aprion virescens ),1,77.09,22.01,1.34,1.11,,,,,415
P005,Betki (Lates calcarifer),1,82.52,15.28,1.12,0.29,,,,,284
P006,Black snapper (Macolor niger),1,78.09,19.50,1.19,1.24,,,,,377
P007,Bombay duck (Harpadon nehereus),2,83.24,13.53,1.07,1.03,,,,,287
P008,Bommuralu (Muraenesox cinerius),3,76.42±0.05,22.30±0.27,1.21±0.20,2.87±0.29,,,,,485±14
P009,Cat fish (Tachysurus thalassinus),1,76.22,22.18,1.32,2.13,,,,,456
P010,Chakla (Rachycentron canadum),5,78.36±0.07,20.21±0.70,1.07±0.09,1.68±1.00,,,,,406±36
P011,Chappal (Aluterus monoceros ),1,80.61,17.17,1.23,0.67,,,,,317
P012,Chelu (Elagatis bipinnulata),2,76.36,20.02,1.28,0.70,,,,,366
P013,Chembali (Lutjanus quinquelineatus),1,77.54,20.06,0.86,1.77,,,,,406
P014,Eri meen (Pristipomoides filamentosus),1,76.54,22.30,1.28,2.02,,,,,454
P015,Gobro (Epinephelus diacanthus),2,78.84,19.37,0.98,0.88,,,,,362
P016,Guitar fish (Rhinobatus prahli),1,75.73,22.56,1.32,0.44,,,,,400
P017,Hilsa (Tenualosa ilisha),2,60.09,21.80,1.11,18.49,,,,,1083
P018,Jallal (Arius sp.),1,77.50,21.55,1.17,1.46,,,,,420
P019,Jathi vela meen (Lethrinus lentjan),2,75.66,22.45,1.26,1.92,,,,,453
P020,Kadal bral (Synodus indicus),1,79.66,18.72,1.27,1.34,,,,,368
P021,Kadali (Nemipterus mesoprion),1,73.74,22.07,1.06,4.20,,,,,530
P022,Kalamaara (Leptomelanosoma indicum),2,75.50,20.89,1.08,4.54,,,,,523
P023,Kalava (Epinephelus coioides),1,80.02,19.38,1.34,1.20,,,,,374
P024,Kanamayya (Lutjanus rivulatus),2,77.59,20.19,1.07,0.65,,,,,367
P025,Kannadi paarai (Alectis indicus),3,76.25±0.65,22.09±0.24,1.28±0.19,1.27±0.40,,,,,423±11
P026,Karimeen (Etroplus suratensis),1,78.66,19.68,0.97,1.38,,,,,386
P027,Karnagawala (Anchoa hepsetus),1,79.22,19.52,1.45,0.84,,,,,363
P028,Kayrai (Thunnus albacores),2,72.69,20.15,1.28,3.00,,,,,454
P029,Kiriyan (Atule mate),1,72.39,22.49,0.94,4.70,,,,,556
P030,Kite fish (Mobula kuhlii),1,77.61,23.07,1.50,0.56,,,,,413
P031,Korka (Terapon jarbua),1,72.25,23.72,1.09,3.36,,,,,528
P032,Kulam paarai (Carangoides fulvoguttatus),1,73.44,21.62,1.25,3.60,,,,,501
P033,Maagaa (Polynemus plebeius),1,79.23,20.11,1.01,0.67,,,,,366
P034,Mackerel (Rastrelliger kanagurta),3,74.55±1.14,21.51±0.34,1.20±0.43,1.53±0.93,,,,,423±40
P035,Manda clathi (Naso reticulatus),1,76.32,21.27,1.48,1.00,,,,,398
P036,Matha (Acanthurus mata),2,79.81,21.17,1.35,0.79,,,,,389
P037,Milk fish (Chanos chanos),1,72.22,23.66,1.12,1.09,,,,,442
P038,Moon fish (Mene maculata),1,74.21,20.74,1.69,4.69,,,,,526
P039,Mullet (Mugil cephalus),3,76.12±0.33,20.23±1.30,1.16±0.13,1.32±0.27,,,,,393±26
P040,Mural (Tylosurus crocodilus crocodilus),1,78.96,19.04,1.11,0.58,,,,,345
P041,Myil meen (Istiophorus platypterus),2,75.57,22.89,1.21,0.56,,,,,410
P042,Nalla bontha (Epinephelus sp.),1,79.32,19.82,1.00,0.72,,,,,364
P043,Narba (Caranx sexfasciatus),2,76.37,21.95,1.17,1.60,,,,,432
P044,Paarai (Caranx heberi),1,75.77,21.58,1.21,1.84,,,,,435
P045,Padayappa (Canthidermis maculata),1,79.18,19.70,1.26,0.69,,,,,360
P046,Pali kora (Panna microdon),1,78.63,19.25,1.00,1.81,,,,,394
P047,Pambada (Lepturacanthus savala),2,74.67,21.95,1.41,4.44,,,,,537
P048,Pandukopa (Pseudosciaena manchurica),1,77.46,19.73,1.15,0.65,,,,,360
P049,Parava (Lactarius lactarius),1,77.19,21.50,1.08,2.74,,,,,467
P050,Parcus (Psettodes erumei),1,79.01,19.87,1.12,0.62,,,,,361
P051,Parrot fish (Scarus ghobban),1,76.84,20.82,1.40,0.57,,,,,375
P052,Perinkilichai (Pinjalo pinjalo),1,78.33,20.89,1.02,0.87,,,,,387
P053,Phopat (Coryphaena hippurus),4,76.42±0.14,22.05±0.75,1.24±0.02,1.33±0.47,,,,,424±8
P054,Piranha (Pygopritis sp.),1,76.15,20.46,0.93,5.43,,,,,549
P055,"Pomfret, black (Parastromateus niger)",1,74.43,18.91,0.97,4.83,,,,,515
P056,"Pomfret, snub nose (Trachinotus blochii)",2,77.81,21.05,1.29,0.46,,,,,375
P057,"Pomfret, white (Pampus argenteus)",2,75.91,19.02,1.01,5.12,,,,,513
P058,Pranel (Gerres sp.),1,79.54,19.69,0.76,1.89,,,,,405
P059,Pulli paarai (Gnathanodon speciosus),1,75.99,20.06,1.19,1.55,,,,,399
P060,Queen fish (Scomberoides commersonianus),3,76.63±0.23,20.97±0.31,1.22±0.09,1.17±0.20,,,,,400±12
P061,Raai fish (Lobotes surinamensis),2,77.14,21.61,1.11,1.69,,,,,430
P062,Raai vanthu (Epinephelus chlorostigma),1,79.95,19.39,0.92,2.17,,,,,410
P063,Rani (Pink perch),1,78.55,18.83,1.01,1.49,,,,,377
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,80.30,19.03,1.15,0.70,,,,,349
P065,Red snapper (Lutjanus argentimaculatus),1,76.28,22.79,1.26,1.34,,,,,437
P066,"Red snapper, small (Priacanthus hamrur)",1,76.31,21.50,1.10,2.30,,,,,451
P067,Sadaya (Platax orbicularis ),1,75.53,20.68,1.32,2.97,,,,,462
P068,Salmon (Salmo salar),1,67.84,20.97,1.13,9.86,,,,,721
P069,Sangada (Nemipterus japonicus),1,78.51,20.26,1.26,2.67,,,,,443
P070,Sankata paarai (Caranx ignobilis),1,74.88,21.87,1.18,1.68,,,,,434
P071,Sardine (Sardinella longiceps),1,72.29,17.91,0.84,8.99,,,,,637
P072,Shark (Carcharhinus sorrah),2,72.82,21.60,1.08,0.83,,,,,398
P073,"Shark, hammer head (Sphyrna mokarran)",1,74.61,23.40,0.92,0.80,,,,,432
P074,"Shark, spotted (Stegostoma fasciatum)",1,78.83,20.95,1.04,0.75,,,,,384
P075,Shelavu (Sphyraena jello),4,74.60±1.68,22.46±1.34,1.26±0.07,1.74±0.50,,,,,446±41
P076,Silan (Silonia silondia),1,70.12,22.72,0.77,6.68,,,,,633
P077,Silk fish (Beryx sp.),1,77.61,20.65,1.05,1.53,,,,,408
P078,Silver carp (Hypophthalmichthys molitrix),1,72.47,21.71,0.95,5.17,,,,,555
P079,Sole fish (Cynoglossus arel),1,80.18,19.05,1.06,1.18,,,,,367
P080,Stingray (Dasyatis pastinaca),1,75.67,23.98,1.14,0.68,,,,,408
P081,Tarlava (Drepane punctata),2,76.76,21.72,1.14,1.20,,,,,414
P082,Tholam (Plectorhinchus schotaf),2,76.20,20.78,1.06,2.13,,,,,432
P083,Tilapia (Oreochromis niloticus),1,79.57,18.48,1.18,1.08,,,,,349
P084,Tuna (Euthynnus affinis),5,72.12±0.42,24.50±0.27,1.11±0.12,1.44±0.42,,,,,470±16
P085,"Tuna, striped (Katsuwonus pelamis)",1,77.76,21.28,0.87,1.12,,,,,403
P086,Valava (Chirocentrus nudus),1,77.25,21.80,1.27,1.06,,,,,410
P087,Vanjaram (Scomberomorus commerson ),2,72.30,22.28,1.33,5.18,,,,,570
P088,Vela meen (Aprion virescens),1,71.82,22.16,1.34,4.34,,,,,537
P089,Vora (Siganus javus),2,76.94,20.14,1.26,2.14,,,,,422
P090,Whale shark (Galeocerdo cuvier),1,77.59,21.83,1.48,0.82,,,,,401
P091,Xiphinis (Xiphias gladius),1,79.22,19.82,1.15,0.88,,,,,370
P092,"Eggs, Cat fish (Ompok bimaculatus)",1,69.34,24.68,1.57,5.28,,,,,600
Q001,Crab (Menippe mercenaria),1,79.77,10.23,1.74,1.41,,,,,343
Q002,"Crab, sea (Portunus sanguinolentus)",1,79.67,15.36,0.92,0.60,,,,,283
Q003,"Lobster, brown (Thenus orientalis)",1,81.48,15.96,1.29,0.56,,,,,292
Q004,"Lobster, king size (Thenus orientalis)",1,77.77,18.54,1.08,0.78,,,,,375
Q005,Mud crab (Scylla tranquebarica),1,83.10,10.00,2.60,0.55,,,,,190
Q006,Oyster (Crassostrea sp.),1,82.50,9.51,2.47,2.44,,,,,252
Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,82.41,14.85,0.94,0.56,,,,,273
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,81.48,14.25,0.83,0.74,,,,,270
R001,"Clam, green shell (Perna viridis)",1,80.07,12.14,2.44,0.98,,,,,243
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,80.27,11.82,0.85,1.34,,,,,250
R003,Octopus (Octopus vulgaris),1,80.45,14.71,1.21,1.12,,,,,334
R004,"Squid, black (Loligo sp.)",1,80.59,16.10,0.99,1.07,,,,,335
R005,"Squid, hard shell (Sepia pharaonis)",1,80.52,16.82,0.75,0.93,,,,,320
R006,"Squid, red (Loligo duvauceli)",2,80.85,16.25,1.15,1.44,,,,,329
R007,"Squid, white, small (Uroteuthis duvauceli )",1,79.38,17.41,1.19,1.15,,,,,353
S001,Cat fish (Tandanus tandanus),2,77.23±0.91,15.86±3.65,0.93±0.01,6.24±3.03,,,,,518±84
S002,Catla (Catla catla),6,78.43±0.71,17.94±1.36,0.94±0.01,2.15±0.34,,,,,394±6
S003,Freshwater Eel (Anguilla anguilla),1,75.57,20.41,1.03,2.63,,,,,451
S004,Gold fish (Carassius auratus),2,79.07,16.91,1.10,2.94,,,,,396
S005,Pangas (Pangasianodon hypophthalmus),6,68.50±1.01,17.12±1.62,1.12±0.03,16.77±0.91,,,,,852±24
S006,Rohu (Labeo rohita),6,76.34±0.28,19.71±0.57,1.28±0.04,2.39±0.64,,,,,428±12
S007,Crab (Pachygrapsus sp.),1,80.58,13.23,1.23,0.89,,,,,327
S008,"Prawns, big (Macrobrachium rosenbergii)",1,77.43,19.24,0.84,0.52,,,,,380
S009,"Prawns, small (Macrobrachium sp.)",3,82.58,13.07,0.86,0.78,,,,,297
S010,Tiger prawns (Macrobrachium sp.),2,83.24,14.24,0.83,0.66,,,,,284
