code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,2.23,4.06,6.31,4.62,3.08,0.79,3.18,5.09,0.79,4.69
R003,Octopus (Octopus vulgaris),1,4.48,5.82,8.48,7.55,2.46,1.87,6.37,5.82,0.88,5.3
R004,"Squid, black (Loligo sp.)",1,4.14,4.05,8.49,6.58,2.25,1.69,5.21,5.53,0.93,4.62
R005,"Squid, hard shell (Sepia pharaonis)",1,3.89,4.24,7.57,5.09,3.89,1.75,3.21,4.45,0.71,4.19
R006,"Squid, red (Loligo duvauceli)",2,3.54,5.34,7.84,5.58,3.77,1.52,6.47,7.18,1.24,5.1
R007,"Squid, white, small (Uroteuthis duvauceli)",1,4.54,4.14,5.99,7.94,3.31,1.74,4.38,4.88,0.97,4.8
S001,Cat fish (Tandanus tandanus),2,4.80±0.29,4.46±0.33,7.29±0.82,8.11±0.23,6.07±0.15,14.31±1.10,5.30±0.20,3.46±0.77,1.18±0.45,5.15±0.12
S002,Catla (Catla catla),6,5.23±0.11,4.06±0.86,7.53±0.39,8.09±0.05,5.61±0.66,15.25±0.91,5.49±0.22,3.54±0.37,0.74±0.17,5.18±0.09
S003,Freshwater Eel (Anguilla anguilla),1,3.67,3.43,3.41,5.94,4.62,10.94,4.07,3.46,1.22,4.56
S004,Gold fish (Carassius auratus),1,4.9,4.47,6.31,7.94,5.76,14.49,5.14,2.5,1.03,5.23
S005,Pangas (Pangasianodon hypophthalmus),2,8.3,6.59,3.83,4.57,4.01,4.74,4.49,4.19,1.26,6.07
S006,Rohu (Labeo rohita),6,4.77±0.39,4.09±0.54,6.27±0.69,8.03±0.55,5.57±0.44,15.13±0.75,5.26±0.37,2.90±0.58,1.04±0.28,5.39±0.72
S007,Crab (Pachygrapsus sp.),1,3.86,3.73,5.19,6.82,4.97,13.27,3.94,3.43,0.93,3.96
S008,"Prawns, big (Macrobrachium rosenbergii)",3,4.66,2.99,6.72,7.79,5.16,14.75,4.57,3.33,1.11,4.72
S009,"Prawns, small (Macrobrachium sp.)",6,4.45±0.28,4.11±0.57,6.76±0.77,7.89±0.58,5.73±0.43,14.71±0.87,5.37±0.41,2.92±0.63,1.02±0.17,5.17±0.68
S010,Tiger prawns (Macrobrachium sp.),2,4.19,2.96,4.85,7.54,5.15,15.67,4.64,3.53,0.94,4.75
